id_didok;id_fli;id_sloid;name_official;name_long;name_short;name_alternative;lang;stations_metastation;wgs84_e;wgs84_n;wgs84_h;wgs84_epsg;local_e;local_n;local_h;local_epsg;station_priority;km_info;stations_metastation_hrdf;source_file;timestamp;metastation_id
8591335;;ch:1:sloid:91335;Zürich, Schaffhauserplatz;;;;;;8.538708;47.391630;0;EPSG:4326;2683055;1249560;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904098;314
8591336;;ch:1:sloid:91336;Zürich, Schäppiweg;;;;;;8.550895;47.389741;0;EPSG:4326;2683978;1249363;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904102;315
8591338;;ch:1:sloid:91338;Zürich, Schauenberg;;;;;;8.506933;47.416197;0;EPSG:4326;2680619;1252258;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904106;316
8591339;;ch:1:sloid:91339;Zürich, Scheuchzerstrasse;;;;;;8.544232;47.387790;0;EPSG:4326;2683478;1249139;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904119;317
8591340;;ch:1:sloid:91340;Zürich, Schlyfi;;;;;;8.574145;47.362592;0;EPSG:4326;2685777;1246370;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904123;318
8591341;;ch:1:sloid:91341;Zürich, Schmiede Wiedikon;;;;;;8.519264;47.370153;0;EPSG:4326;2681620;1247152;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904127;319
8591342;;ch:1:sloid:91342;Zürich, Schönauring;;;;;;8.536346;47.426130;0;EPSG:4326;2682823;1253393;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904132;320
8591343;;ch:1:sloid:91343;Zürich, Ueberlandpark;;;;;;8.563873;47.405942;0;EPSG:4326;2684932;1251178;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904136;321
8591344;;ch:1:sloid:91344;Zürich, Schulhaus Altweg;;;;;;8.494202;47.372274;0;EPSG:4326;2679724;1247362;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904140;322
8591345;;ch:1:sloid:91345;Zürich, Schulhaus Buchlern;;;;;;8.478580;47.384666;0;EPSG:4326;2678526;1248724;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904144;323
